player,nation,pos,squad,comp,age,born,90s,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err
Brenden Aaronson,USA,MF,Leeds United,Premier League,21,2000,26.4,45.0,18,16.0,22.0,7.0,15.0,46.0,32.6,31.0,43.0,3.0,40.0,5,50.0,6.0,1.0
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,18,2003,1.9,6.0,5,2.0,2.0,2.0,2.0,3.0,66.7,1.0,2.0,1.0,1.0,0,6.0,2.0,0.0
James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0,1.0,5.0,0.0
George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37.0,82.0,50,47.0,33.0,2.0,39.0,52.0,75.0,13.0,65.0,27.0,38.0,64,146.0,116.0,1.0
Himad Abdelli,FRA,MF,Angers,Ligue 1,22,1999,23.7,64.0,38,22.0,32.0,10.0,31.0,67.0,46.3,36.0,30.0,1.0,29.0,28,92.0,15.0,0.0
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,46.0,26,18.0,23.0,5.0,29.0,52.0,55.8,23.0,38.0,9.0,29.0,36,82.0,26.0,0.0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26.0,92.0,52,59.0,30.0,3.0,39.0,92.0,42.4,53.0,47.0,8.0,39.0,34,126.0,39.0,0.0
Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,10.0,6,6.0,3.0,1.0,7.0,16.0,43.8,9.0,7.0,1.0,6.0,5,15.0,17.0,0.0
Matthis Abline,FRA,FW,Auxerre,Ligue 1,19,2003,9.0,4.0,2,0.0,3.0,1.0,0.0,5.0,0.0,5.0,6.0,1.0,5.0,1,5.0,1.0,0.0
Matthis Abline,FRA,FW,Rennes,Ligue 1,19,2003,1.2,1.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,2,3.0,1.0,0.0
Abner,BRA,DF,Betis,La Liga,22,2000,6.7,12.0,9,9.0,2.0,1.0,7.0,16.0,43.8,9.0,8.0,2.0,6.0,8,20.0,24.0,0.0
Zakaria Aboukhlal,MAR,FW,Toulouse,Ligue 1,22,2000,27.5,33.0,23,13.0,9.0,11.0,14.0,45.0,31.1,31.0,18.0,1.0,17.0,22,55.0,23.0,0.0
Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,17.0,10,4.0,8.0,5.0,3.0,16.0,18.8,13.0,10.0,4.0,6.0,3,20.0,14.0,0.0
Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,1.0,0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0
Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,33.0,19,22.0,7.0,4.0,20.0,27.0,74.1,7.0,25.0,18.0,7.0,41,74.0,85.0,2.0
Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,57.0,36,34.0,17.0,6.0,30.0,42.0,71.4,12.0,16.0,5.0,11.0,23,80.0,36.0,0.0
Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,17.0,13,7.0,8.0,2.0,7.0,12.0,58.3,5.0,13.0,4.0,9.0,4,21.0,22.0,0.0
Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24.0,89.0,46,44.0,35.0,10.0,50.0,77.0,64.9,27.0,48.0,8.0,40.0,35,124.0,29.0,0.0
Sargis Adamyan,ARM,FW,Köln,Bundesliga,29,1993,7.2,14.0,7,5.0,3.0,6.0,7.0,17.0,41.2,10.0,12.0,0.0,12.0,4,18.0,5.0,0.0
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,30.0,13,22.0,6.0,2.0,16.0,23.0,69.6,7.0,20.0,15.0,5.0,26,56.0,140.0,1.0
Martin Adeline,FRA,DF,Reims,Ligue 1,18,2003,1.2,3.0,3,2.0,1.0,0.0,3.0,4.0,75.0,1.0,3.0,1.0,2.0,3,6.0,3.0,0.0
Karim Adeyemi,GER,FW,Dortmund,Bundesliga,20,2002,15.4,16.0,11,6.0,6.0,4.0,8.0,30.0,26.7,22.0,18.0,1.0,17.0,7,23.0,3.0,0.0
Amine Adli,FRA,FW,Leverkusen,Bundesliga,22,2000,15.9,18.0,10,4.0,6.0,8.0,5.0,17.0,29.4,12.0,28.0,2.0,26.0,6,24.0,7.0,0.0
Yacine Adli,FRA,MF,Milan,Serie A,22,2000,1.6,6.0,3,2.0,4.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,2.0,1,7.0,1.0,0.0
Michel Aebischer,SUI,MF,Bologna,Serie A,25,1997,17.1,12.0,6,3.0,6.0,3.0,2.0,18.0,11.1,16.0,14.0,2.0,12.0,7,19.0,9.0,0.0
Felix Afena-Gyan,GHA,FW,Cremonese,Serie A,19,2003,9.1,7.0,3,4.0,1.0,2.0,2.0,10.0,20.0,8.0,5.0,1.0,4.0,1,8.0,6.0,0.0
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,71.0,49,53.0,16.0,2.0,42.0,65.0,64.6,23.0,30.0,14.0,16.0,32,103.0,107.0,3.0
