column_name,value,details
Competition Name,Competition Name,Name the competition was known as for that season
MP,Matches Played,Matches Played. Matches Played by the player or squad
Tkl,Tackles,Tackles. Number of players tackled
TklW,Tackles Won,Tackles Won. Tackles in which the tackler's team won possession of the ball
Def 3rd,Tackles (Def 3rd),Tackles (Def 3rd). Tackles in defensive 1/3
Mid 3rd,Tackles (Mid 3rd),Tackles (Mid 3rd). Tackles in middle 1/3
Att 3rd,Tackles (Att 3rd),Tackles (Att 3rd). Tackles in attacking 1/3
Tkl,Dribblers Tackled,Dribblers Tackled. Number of dribblers tackled
Att,Dribbles Challenged,Dribbles Challenged. Number of unsuccessful challenges plus number of dribblers tackled
Tkl%,% of dribblers tackled,% of dribblers tackled. Percentage of dribblers tackled. Dribblers tackled divided by number of attempts to challenge an opposing dribbler Minimum .625 dribblers challenged per squad game to qualify as a leader
Lost,Challenges Lost,Challenges Lost. Number of unsucessful attempts to challenge a dribbling player
Blocks,Blocks,Number of times blocking the ball by standing in its path
Sh,Shots Blocked,Shots Blocked. Number of times blocking a shot by standing in its path
Pass,Passes Blocked,Passes Blocked. Number of times blocking a pass by standing in its path
Int,Interceptions,Interceptions. Interceptions
Tkl+Int,Tkl+Int,Number of players tackled plus number of interceptions
Clr,Clearances,Clearances. Clearances
Err,Errors,Errors. Mistakes leading to an opponent's shot
Rk,Rk,Rank. This is a count of the rows from top to bottom. It is recalculated following the sorting of a column.
Player,Player,
Nation,Nation,"Nationality of the player. First, we check our records in international play at senior level. Then youth level. Then citizenship presented on wikipedia. Finally, we use their birthplace when available."
Pos,Position,Position. Position most commonly played by the player GK - Goalkeepers DF - Defenders MF - Midfielders FW - Forwards FB - Fullbacks LB - Left Backs RB - Right Backs CB - Center Backs DM - Defensive Midfielders CM - Central Midfielders LM - Left Midfielders RM - Right Midfielders WM - Wide Midfielders LW - Left Wingers RW - Right Wingers AM - Attacking Midfielders 
Squad,Squad,
Comp,Competition,Competition. Competition Number next to competition states which level in the country's league pyramid this league occupies.
Age,Age,Age at season start Given on August 1 for winter leagues and February 1 for summer leagues.
Born,Year of birth,Year of birth. 
90s,90s Played,90s Played. 90s played. Minutes played divided by 90
Matches,Matches,
