column_name,value,details
Competition Name,Competition Name,Name the competition was known as for that season
MP,Matches Played,Matches Played. Matches Played by the player or squad
SCA,Shot-Creating Actions,"Shot-Creating Actions. Shot-Creating Actions The two offensive actions directly leading to a shot, such as passes, take-ons and drawing fouls. Note: A single player can receive credit for multiple actions and the shot-taker can also receive credit."
PassLive,SCA (PassLive),SCA (PassLive). Completed live-ball passes that lead to a shot attempt
PassDead,SCA (PassDead),"SCA (PassDead). Completed dead-ball passes that lead to a shot attempt. Includes free kicks, corner kicks, kick offs, throw-ins and goal kicks"
TO,SCA (TO),SCA (TO). Successful take-ons that lead to a shot attempt
Sh,SCA (Sh),SCA (Sh). Shots that lead to another shot attempt
Fld,SCA (Fld),SCA (Fld). Fouls drawn that lead to a shot attempt
Def,SCA (Def),SCA (Def). Defensive actions that lead to a shot attempt
GCA,Goal-Creating Actions,"Goal-Creating Actions. Goal-Creating Actions The two offensive actions directly leading to a goal, such as passes, take-ons and drawing fouls. Note: A single player can receive credit for multiple actions and the shot-taker can also receive credit."
PassLive,GCA (PassLive),GCA (PassLive). Completed live-ball passes that lead to a goal
PassDead,GCA (PassDead),"GCA (PassDead). Completed dead-ball passes that lead to a goal. Includes free kicks, corner kicks, kick offs, throw-ins and goal kicks"
TO,GCA (TO),GCA (TO). Successful take-ons that lead to a goal
Sh,GCA (Sh),GCA (Sh). Shots that lead to another goal-scoring shot
Fld,GCA (Fld),GCA (Fld). Fouls drawn that lead to a goal
Def,GCA (Def),GCA (Def). Defensive actions that lead to a goal
Rk,Rk,Rank. This is a count of the rows from top to bottom. It is recalculated following the sorting of a column.
Player,Player,
Nation,Nation,"Nationality of the player. First, we check our records in international play at senior level. Then youth level. Then citizenship presented on wikipedia. Finally, we use their birthplace when available."
Pos,Position,Position. Position most commonly played by the player GK - Goalkeepers DF - Defenders MF - Midfielders FW - Forwards FB - Fullbacks LB - Left Backs RB - Right Backs CB - Center Backs DM - Defensive Midfielders CM - Central Midfielders LM - Left Midfielders RM - Right Midfielders WM - Wide Midfielders LW - Left Wingers RW - Right Wingers AM - Attacking Midfielders 
Squad,Squad,
Comp,Competition,Competition. Competition Number next to competition states which level in the country's league pyramid this league occupies.
Age,Age,Age at season start Given on August 1 for winter leagues and February 1 for summer leagues.
Born,Year of birth,Year of birth. 
90s,90s Played,90s Played. 90s played. Minutes played divided by 90
SCA90,Shot-Creating Actions/90,Shot-Creating Actions/90. Shot-Creating Actions per 90 minutes Minimum 30 minutes played per squad game to qualify as a leader
GCA90,Goal-Creating Actions/90,Goal-Creating Actions/90. Goal-Creating Actions per 90 minutes Minimum 30 minutes played per squad game to qualify as a leader
Matches,Matches,
