player,nation,pos,squad,comp,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,pkatt,pka,pksv,pkm,pk_save%
Álvaro Aceves,USA,GK,Valladolid,La Liga,19,2003,1,0,13,0.1,0.0,0.0,3.0,3.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julen Agirrezabala,USA,GK,Athletic Club,La Liga,21,2000,8,7,675,7.5,6.0,0.8,19.0,13.0,68.4,1,3.0,3.0,2.0,28.6,0.0,0.0,0.0,0.0,0.0
Doğan Alemdar,IRL,GK,Rennes,Ligue 1,19,2002,6,4,406,4.5,8.0,1.77,16.0,7.0,56.3,2,0.0,2.0,1.0,25.0,2.0,1.0,1.0,0.0,50.0
Alisson,ENG,GK,Liverpool,Premier League,29,1992,37,37,3330,37.0,43.0,1.16,147.0,105.0,72.1,19,9.0,9.0,14.0,37.8,4.0,2.0,1.0,1.0,33.3
Alphonse Areola,MAR,GK,West Ham,Premier League,29,1993,5,2,309,3.4,7.0,2.04,16.0,9.0,68.8,0,1.0,1.0,1.0,50.0,2.0,2.0,0.0,0.0,0.0
Kepa Arrizabalaga,FRA,GK,Chelsea,Premier League,27,1994,29,29,2565,28.5,33.0,1.16,120.0,90.0,73.3,8,9.0,12.0,9.0,31.0,1.0,1.0,0.0,0.0,0.0
Sergio Asenjo,GHA,GK,Valladolid,La Liga,33,1989,10,10,900,10.0,21.0,2.1,51.0,30.0,60.8,2,2.0,6.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0
Emil Audero,FRA,GK,Sampdoria,Serie A,25,1997,25,25,2250,25.0,39.0,1.56,121.0,82.0,71.9,2,6.0,17.0,4.0,16.0,7.0,5.0,2.0,0.0,28.6
Édgar Badía,DEN,GK,Elche,La Liga,30,1992,36,36,3240,36.0,63.0,1.75,200.0,136.0,72.0,5,10.0,21.0,4.0,11.1,10.0,7.0,3.0,0.0,30.0
Francesco Bardi,FRA,GK,Bologna,Serie A,30,1992,1,1,90,1.0,0.0,0.0,4.0,4.0,100.0,1,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0
Oliver Baumann,FRA,GK,Hoffenheim,Bundesliga,32,1990,34,34,3060,34.0,57.0,1.68,161.0,105.0,65.8,10,6.0,18.0,5.0,14.7,3.0,2.0,0.0,1.0,0.0
Gavin Bazunu,BRA,GK,Southampton,Premier League,20,2002,32,32,2880,32.0,56.0,1.75,120.0,67.0,54.2,6,6.0,20.0,4.0,12.5,2.0,1.0,1.0,0.0,50.0
Asmir Begović,MAR,GK,Everton,Premier League,35,1987,1,1,90,1.0,0.0,0.0,4.0,4.0,100.0,1,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0
Daniel Bentley,ENG,GK,Wolves,Premier League,29,1993,2,2,180,2.0,3.0,1.5,13.0,10.0,76.9,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Bernardoni,ITA,GK,Angers,Ligue 1,25,1997,27,27,2430,27.0,62.0,2.3,143.0,84.0,62.2,1,5.0,21.0,3.0,11.1,9.0,8.0,0.0,1.0,0.0
Marco Bizot,ITA,GK,Brest,Ligue 1,31,1991,37,37,3330,37.0,54.0,1.46,176.0,122.0,73.3,11,10.0,16.0,8.0,21.6,9.0,7.0,2.0,0.0,22.2
