player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp
Brenden Aaronson,USA,MF,Leeds United,Premier League,21,2000,26.4,592.0,797.0,74.3,7577.0,2182.0,346.0,423.0,81.8,150.0,195.0,76.9,25.0,65.0,38.5,3,4.2,2.6,-1.2,46.0,47.0,16.0,4.0,86.0
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,18,2003,1.9,51.0,71.0,71.8,659.0,109.0,36.0,38.0,94.7,14.0,23.0,60.9,1.0,6.0,16.7,0,0.0,0.1,0.0,1.0,3.0,0.0,0.0,6.0
James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,23.0,29.0,79.3,375.0,79.0,14.0,15.0,93.3,6.0,8.0,75.0,2.0,5.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0.0,1.0,1.0,100.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37.0,1679.0,2031.0,82.7,32967.0,13407.0,490.0,571.0,85.8,1006.0,1117.0,90.1,155.0,279.0,55.6,2,1.0,0.9,1.0,13.0,155.0,5.0,0.0,215.0
Himad Abdelli,FRA,MF,Angers,Ligue 1,22,1999,23.7,1043.0,1257.0,83.0,18273.0,4649.0,465.0,536.0,86.8,421.0,494.0,85.2,122.0,169.0,72.2,2,2.9,2.5,-0.9,36.0,124.0,26.0,8.0,151.0
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,1819.0,1981.0,91.8,28679.0,7020.0,897.0,964.0,93.0,769.0,811.0,94.8,92.0,117.0,78.6,1,1.6,2.3,-0.6,17.0,182.0,17.0,3.0,165.0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26.0,1308.0,1483.0,88.2,22287.0,7579.0,593.0,640.0,92.7,562.0,617.0,91.1,111.0,160.0,69.4,1,1.3,1.1,-0.3,14.0,144.0,11.0,0.0,143.0
Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,115.0,195.0,59.0,1943.0,930.0,58.0,85.0,68.2,41.0,71.0,57.7,13.0,27.0,48.1,0,0.4,0.3,-0.4,6.0,17.0,3.0,2.0,15.0
Matthis Abline,FRA,FW,Auxerre,Ligue 1,19,2003,9.0,69.0,105.0,65.7,1187.0,235.0,24.0,36.0,66.7,35.0,44.0,79.5,5.0,11.0,45.5,1,0.7,0.3,0.3,5.0,7.0,3.0,1.0,8.0
Matthis Abline,FRA,FW,Rennes,Ligue 1,19,2003,1.2,7.0,15.0,46.7,129.0,30.0,3.0,6.0,50.0,3.0,4.0,75.0,1.0,1.0,100.0,0,0.3,0.2,-0.3,2.0,1.0,1.0,0.0,2.0
Abner,BRA,DF,Betis,La Liga,22,2000,6.7,252.0,351.0,71.8,3886.0,1578.0,130.0,149.0,87.2,94.0,134.0,70.1,16.0,42.0,38.1,0,0.1,0.5,-0.1,2.0,18.0,3.0,1.0,16.0
Zakaria Aboukhlal,MAR,FW,Toulouse,Ligue 1,22,2000,27.5,576.0,777.0,74.1,7539.0,1994.0,373.0,448.0,83.3,158.0,208.0,76.0,12.0,29.0,41.4,5,3.3,2.8,1.7,22.0,30.0,22.0,4.0,72.0
Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,342.0,513.0,66.7,4964.0,1248.0,198.0,260.0,76.2,102.0,163.0,62.6,24.0,36.0,66.7,3,3.6,2.8,-0.6,33.0,18.0,17.0,2.0,54.0
Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,9.0,9.0,100.0,129.0,4.0,5.0,5.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,1455.0,1644.0,88.5,27034.0,8090.0,545.0,594.0,91.8,737.0,802.0,91.9,149.0,202.0,73.8,2,1.1,1.2,0.9,16.0,86.0,14.0,3.0,100.0
Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,7.0,8.0,87.5,151.0,113.0,2.0,2.0,100.0,4.0,4.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,18.0,21.0,85.7,274.0,76.0,7.0,7.0,100.0,10.0,12.0,83.3,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,970.0,1307.0,74.2,18018.0,6997.0,446.0,499.0,89.4,380.0,491.0,77.4,128.0,260.0,49.2,2,4.3,5.7,-2.3,38.0,71.0,38.0,19.0,102.0
Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,330.0,498.0,66.3,4651.0,1042.0,205.0,278.0,73.7,78.0,118.0,66.1,26.0,37.0,70.3,3,2.8,2.2,0.2,24.0,21.0,11.0,2.0,34.0
