player,nation,pos,squad,comp,age,born,90s,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg
Brenden Aaronson,USA,MF,Leeds United,Premier League,21,2000,26.4,1,41,9,22.0,1.56,0.34,0.02,0.11,18.4,2.0,0,0,3.9,3.9,0.09,-2.9,-2.9
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,18,2003,1.9,0,4,1,25.0,2.08,0.52,0.0,0.0,18.7,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37.0,1,32,3,9.4,0.86,0.08,0.03,0.33,15.0,0.0,0,0,2.4,2.4,0.07,-1.4,-1.4
Himad Abdelli,FRA,MF,Angers,Ligue 1,22,1999,23.7,2,24,7,29.2,1.01,0.29,0.08,0.29,22.4,2.0,0,0,1.4,1.4,0.06,0.6,0.6
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,1,13,4,30.8,0.4,0.12,0.08,0.25,19.1,0.0,0,0,0.9,0.9,0.07,0.1,0.1
Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26.0,0,13,2,15.4,0.5,0.08,0.0,0.0,24.0,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5
Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,0,3,2,66.7,0.46,0.31,0.0,0.0,14.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Matthis Abline,FRA,FW,Auxerre,Ligue 1,19,2003,9.0,2,24,8,33.3,2.68,0.89,0.04,0.13,20.6,0.0,1,2,3.6,2.0,0.08,-1.6,-1.0
Matthis Abline,FRA,FW,Rennes,Ligue 1,19,2003,1.2,1,6,2,33.3,5.05,1.68,0.17,0.5,12.2,0.0,0,0,0.8,0.8,0.13,0.2,0.2
Abner,BRA,DF,Betis,La Liga,22,2000,6.7,0,5,1,20.0,0.74,0.15,0.0,0.0,13.6,0.0,0,0,1.7,1.7,0.34,-1.7,-1.7
Zakaria Aboukhlal,MAR,FW,Toulouse,Ligue 1,22,2000,27.5,10,83,30,36.1,3.02,1.09,0.12,0.33,15.9,0.0,0,0,11.5,11.5,0.14,-1.5,-1.5
Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,8,62,28,45.2,2.55,1.15,0.13,0.29,12.0,0.0,0,0,10.8,10.8,0.17,-2.8,-2.8
Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,0,18,2,11.1,0.67,0.07,0.0,0.0,15.9,0.0,0,0,1.0,1.0,0.06,-1.0,-1.0
Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,0,1,0,0.0,2.5,0.0,0.0,0.0,26.1,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1
Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,3,21,5,23.8,0.99,0.24,0.14,0.6,25.6,1.0,0,0,1.2,1.2,0.06,1.8,1.8
Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,5,47,14,29.8,2.12,0.63,0.11,0.36,13.8,0.0,0,0,6.6,6.6,0.14,-1.6,-1.6
Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24.0,0,4,0,0.0,0.17,0.0,0.0,0.0,27.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Sargis Adamyan,ARM,FW,Köln,Bundesliga,29,1993,7.2,1,21,11,52.4,2.93,1.54,0.05,0.09,14.0,0.0,0,0,3.4,3.4,0.16,-2.4,-2.4
