column_name,value,details
Competition Name,Competition Name,Name the competition was known as for that season
MP,Matches Played,Matches Played. Matches Played by the player or squad
Gls,Goals,Goals. Goals scored or allowed
Sh,Shots Total,Shots Total. Shots Total Does not include penalty kicks
SoT,Shots on target,Shots on target. Shots on target Note: Shots on target do not include penalty kicks
SoT%,Shots on target %,Shots on target %. Percentage of shots that are on target Minimum .395 shots per squad game to qualify as a leader Note: Shots on target do not include penalty kicks
G/Sh,Goals/Shot,Goals/Shot. Goals per shot Minimum .395 shots per squad game to qualify as a leader
G/SoT,Goals/Shot on target,Goals/Shot on target. Goals per shot on target Minimum .111 shots on target per squad game to qualify as a leader Note: Shots on target do not include penalty kicks
Dist,Average Shot Distance,"Average Shot Distance. Average distance, in yards, from goal of all shots taken Minimum .395 shots per squad game to qualify as a leader Does not include penalty kicks"
FK,Shots from free kicks,Shots from free kicks. Shots from free kicks
PK,Penalty Kicks Made,Penalty Kicks Made. Penalty Kicks Made
PKatt,Penalty Kicks Attempted,Penalty Kicks Attempted. Penalty Kicks Attempted
xG,xG,"Expected Goals xG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted). Provided by Opta. An underline indicates there is a match that is missing data, but will be updated when available."
npxG,Non-Penalty xG,"Non-Penalty xG. Non-Penalty Expected Goals. Provided by Opta. An underline indicates there is a match that is missing data, but will be updated when available."
npxG/Sh,npxG/Sh,"Non-Penalty Expected Goals per shot Provided by Opta. An underline indicates there is a match that is missing data, but will be updated when available. Minimum .395 shots per squad game to qualify as a leader"
G-xG,Goals - xG,"Goals - xG. Goals minus Expected Goals. xG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted). Provided by Opta. An underline indicates there is a match that is missing data, but will be updated when available."
np:G-xG,Non-Penalty Goals - npxG,"Non-Penalty Goals - npxG. Non-Penalty Goals minus Non-Penalty Expected Goals. xG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted). Provided by Opta. An underline indicates there is a match that is missing data, but will be updated when available."
Rk,Rk,Rank. This is a count of the rows from top to bottom. It is recalculated following the sorting of a column.
Player,Player,
Nation,Nation,"Nationality of the player. First, we check our records in international play at senior level. Then youth level. Then citizenship presented on wikipedia. Finally, we use their birthplace when available."
Pos,Position,Position. Position most commonly played by the player GK - Goalkeepers DF - Defenders MF - Midfielders FW - Forwards FB - Fullbacks LB - Left Backs RB - Right Backs CB - Center Backs DM - Defensive Midfielders CM - Central Midfielders LM - Left Midfielders RM - Right Midfielders WM - Wide Midfielders LW - Left Wingers RW - Right Wingers AM - Attacking Midfielders 
Squad,Squad,
Comp,Competition,Competition. Competition Number next to competition states which level in the country's league pyramid this league occupies.
Age,Age,Age at season start Given on August 1 for winter leagues and February 1 for summer leagues.
Born,Year of birth,Year of birth. 
90s,90s Played,90s Played. 90s played. Minutes played divided by 90
Sh/90,Shots Total/90,Shots Total/90. Shots total per 90 minutes Minimum 30 minutes played per squad game to qualify as a leader
SoT/90,Shots on target/90,Shots on target/90. Shots on target per 90 minutes Minimum 30 minutes played per squad game to qualify as a leader Note: Shots on target do not include penalty kicks
Matches,Matches,
